All 1599 models by parameter count:
deit3_large_patch16_384.fb_in1k                    | Total: 304.8M | Trainable: 304.8M
deit3_large_patch16_384.fb_in22k_ft_in1k           | Total: 304.8M | Trainable: 304.8M
vit_large_patch16_384.augreg_in21k_ft_in1k         | Total: 304.7M | Trainable: 304.7M
vit_large_patch14_clip_336.laion2b_ft_in1k         | Total: 304.5M | Trainable: 304.5M
vit_large_patch14_clip_336.laion2b_ft_in12k_in1k   | Total: 304.5M | Trainable: 304.5M
vit_large_patch14_clip_336.openai_ft_in12k_in1k    | Total: 304.5M | Trainable: 304.5M
eva_large_patch14_336.in22k_ft_in1k                | Total: 304.5M | Trainable: 304.5M
eva_large_patch14_336.in22k_ft_in22k_in1k          | Total: 304.5M | Trainable: 304.5M
eva02_large_patch14_clip_336.merged2b              | Total: 304.4M | Trainable: 304.4M
beit_large_patch16_224.in22k_ft_in22k_in1k         | Total: 304.4M | Trainable: 304.4M
beitv2_large_patch16_224.in1k_ft_in1k              | Total: 304.4M | Trainable: 304.4M
beitv2_large_patch16_224.in1k_ft_in22k_in1k        | Total: 304.4M | Trainable: 304.4M
deit3_large_patch16_224.fb_in1k                    | Total: 304.4M | Trainable: 304.4M
deit3_large_patch16_224.fb_in22k_ft_in1k           | Total: 304.4M | Trainable: 304.4M
vit_large_patch14_reg4_dinov2.lvd142m              | Total: 304.4M | Trainable: 304.4M
vit_large_patch14_dinov2.lvd142m                   | Total: 304.4M | Trainable: 304.4M
flexivit_large.300ep_in1k                          | Total: 304.4M | Trainable: 304.4M
flexivit_large.600ep_in1k                          | Total: 304.4M | Trainable: 304.4M
flexivit_large.1200ep_in1k                         | Total: 304.4M | Trainable: 304.4M
vit_large_patch16_224.augreg_in21k_ft_in1k         | Total: 304.3M | Trainable: 304.3M
vit_large_patch14_clip_336.openai                  | Total: 304.3M | Trainable: 304.3M
vit_large_patch14_clip_quickgelu_336.openai        | Total: 304.3M | Trainable: 304.3M
vit_large_patch14_clip_224.laion2b_ft_in1k         | Total: 304.2M | Trainable: 304.2M
